,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.04847669168689,0,0,0,0.364905785873975,0,0,0,0.0192225886710564,0,0,-0.0989492701008196,0,-0.102069193438435,0,0,0,0,0,0,0,0,0,-0.103641801870874,0,0,0,0.0659462923572821,0,0,0,0,0.257352357603442,0,0,0.0277165136410076,0,0,0,0,0,0.0903175490051984,0,0.205910308899832,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0.384587187784993,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.00653704896926086,0,0,0,0,0,0.271917516674862,0,0,0,0,0,0,0,0,0.105260150246945,0,-0.0256494842431925,0,0,0,-0.0331184896642117,0.0963459227354525,0,0,0,0.171318988917922,0,0,0,0,0,0,0,-0.0389568488835577,0.0427402816533491
X600000.CH.EQUITY,0.0229516935691057,0,0,0,0,0.0433779874387592,0,-0.0256271206133195,0,0,0,0,0,0,0,0,0.74352508318729,0,0,0.0654929462048314,0,0,0.0226896770772261,0,-0.104646291669748,-0.018267504036933,0,0,0.0460439954072237,0,0,-0.0847069477989613,0,0,0,0,0,0,0,0,0.0761803984263784,0,0,0.105072737976647,0.166402874400174,0,0,0,0,-0.105429672835806,0
X600015.CH.EQUITY,0.021800950334244,0,0,0,0.117269329579754,0,0,0,0,0,0.0197544456357038,0.176157239626993,-0.0603299239956543,0,0,0,0,0.20549199653496,0,0,0.0777902668255111,0,0,0,0,0,0,0,0,0,0.0302269601357569,0,-0.15490177192535,0,0,0,0,0,0.91094188154146,0,0,0,0.0113161056193103,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00574891744730092,0.0554208765981813,0.0706250158723907,0,0,0,0,0,0,0.173936015316867,0,0,0,0,0,0,0,0.348183426942845,0,0,0,-0.154950227421579,0,0,0.460473986050953,0,0,0.0452926846426579,0,0,0,0,0,0
X600036.CH.EQUITY,0.123985347594389,0.170727559037776,0,0,0,0,0,0,0.111135486577788,2.77555756156289e-17,0,0,0,0.0505098234912588,0,0,0,0,0,0,-0.105679617100513,0.0798471280840252,0.0544866191971983,0,0,0.129987755054153,0,0,0,0,0,-0.00435551063386485,0,0.0930344677509633,0,0,0,0,0,0,0,0.45091106375277,0,0,0,0,0,-0.112323384991299,0,0,0
X600919.CH.EQUITY,0,0,0,0,0,0,0,0.11882992152137,0.0838688502423202,0.054507684877053,0,0,0,0,0,0,0,0.0181114568859571,0,0.209946817596786,0,0,0,0,0.205001927951775,0,0,0,0,0,0,0,0.250544057029623,0,0,0,0.31032410706545,0,0,0,0,0,0,0,0,0,0,0,0,-0.0272841956703778,-1.73472347597681e-18
X600926.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184988739074789,0,0.395893794862643,0,0,0,0,0,0.0163825255955048,0,0,-0.0275906816043371,8.67361737988404e-19,0,-0.237497862014814,-0.0559972925044911,0.030387075989559,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.00540183634373811,0,0,0.203786587252088,0,-0.0671772456037612,-0.0406219134113852,0,0,0.0529093712308524
X601009.CH.EQUITY,0,0.0766450500294846,0,0.0240720776505711,0,0.121038303008106,0,0,0,0,0,0.0188538066415256,0,0,0,0,0,0.144050356081427,0,0.0832006030087215,0,0,0,0,0,0,0.0329990072648639,0,0,0,0,0,0,0,0,0,0,0,0,0.119998840164996,0.224199865646534,0,0,0.0422831622796412,0,0,0,0,0,0.00717945925482449,0
X601166.CH.EQUITY,0.0557673444816,0,0,0,0,0.00882315737003015,0.252041857777259,0,0.146638407519534,0,0,0,0,0.0341449062740722,0,0.0388931320480975,0,0,0,0,0,0,0,0.0545699028897896,0,0.0424555087200479,0,0,0,0,0,0,0,0,0.0607709828168318,0,0,0,0,1.73472347597681e-18,0.0579735302709735,0,0,0,0,0.070064319278918,0,0,0,0,0
